Name,Mt,Hit,Crit,Rng,Wt,Lvl,Use,Description (Comments)
Parthia,15,85,10,2,7,A,40,-
Rusted Bow,0,30,0,2,20,E,-,Can be forged into an Iron Steel Silver or Brave Bow or Parthia.
Iron Bow+,7,95,0,2,5,E,45,-
Steel Bow+,11,80,0,2,10,D,55,-
Silver Bow+,13,75,0,2,8,B,40,-
Brave Bow+,11,80,0,2,12,B,40,2 consecutive hits when initiating combat.
Killer Bow+,10,80,35,2,11,C,25,-
Training Bow+,3,90,0,2,3,E,65,-
Magic Bow+,8,75,0,2~3,9,B,30,Deals magic-based damage.
Longbow+,11,70,0,2~3,13,C,25,-
Mini Bow+,6,90,10,1~2,3,D,55,Has no effective bonus against Flying foes.
Blessed Bow+,8,70,0,2,14,C,20,Effective against Monster foes.
Bow of Zoltan+,16,75,5,2,8,A,25,-
Venin Bow+,7,95,0,2,6,C,25,Inflicts poison.
Failnaught Τ,18,75,20,2~3,9,E,20,Replica. Enables Falling Star for Crest of Riegan.
Fire,3,90,0,1~2,3,E,10,-
Bolganone,8,85,0,1~2,6,C,5,-
Ragnarok,15,80,5,1~2,9,B,3,-
Thunder,4,80,5,1~2,4,E,8,-
Thoron,9,75,10,1~3,7,C,4,-
Bolting,12,65,15,3~10,18,B,2,Cannot trigger follow-up attacks.
Wind,2,100,10,1~2,2,E,12,-
Cutting Gale,7,95,10,1~2,5,C,6,-
Excalibur,11,100,15,1~2,8,B,4,Effective against Flying foes.
Blizzard,3,70,15,1~2,4,E,10,-
Fimbulvetr,12,65,25,1~2,10,B,3,-
Sagittae,7,90,5,1~2,6,C,10,-
Meteor,10,80,0,3~10,19,B,1,Cannot trigger follow-up attacks.
Agnea's Arrow,16,70,5,1~2,13,A,2,-
Miasma Δ,5,80,0,1~2,5,E,10,-
Mire Β,3,70,0,1~3,5,E,8,Inflicts Def -5 to foe for 1 turn.
Swarm Ζ,4,70,0,1~2,4,E,8,Inflicts Spd -5 to foe for 1 turn.
Banshee Θ,9,75,5,1~2,9,C,5,Inflicts reduced Mov to foe for 1 turn.
Death Γ,6,70,20,1~3,8,C,4,-
Luna Λ,1,65,0,1~2,7,C,2,Ignores enemy's Resistance; cannot trigger follow-up attacks.
Dark Spikes Τ,13,80,0,1~2,11,B,3,Effective against Cavalry foes.
Hades Ω,18,65,10,1~2,16,A,2,-
Bohr Χ,10,60,0,3~10,20,B,3,Reduces foe's HP to 1; cannot trigger follow-up attacks.
Quake Σ,8,50,0,All,20,B,1,Damages all units except Flying; cannot trigger follow-up attacks.
Heal,8,100,0,1,-,E,10,Restores HP for an ally.
Recover,30,100,0,1,-,C,5,Restores HP for an ally.
Physic,8,100,0,1~Mag/A,-,C,5,Restores HP for a distant ally.
Fortify,15,100,0,1~Mag/B,-,A,2,Restores HP for all allies in range.
Nosferatu,1,80,0,1~2,8,E,12,Restores HP equal to 50% of damage dealt to foe.
Seraphim,8,75,5,1~2,10,C,8,Effective against Monster foes.
Aura,12,70,20,1~2,12,B,3,-
Abraxas,14,90,5,1~2,13,A,2,-
Torch,-,-,-,1~2,-,E,10,Increases Fog of War vision based on user's Magic stat.
Restore,-,-,-,1~/Mag/B,-,C,10,Cures status effects on all allies in range.
Ward,-,-,-,1,-,C,5,Grants Res +7 to an ally; effect diminishes with each turn.
Silence,-,100,-,3~10,-,B,3,Prevents foe from using magic for 1 turn.
Rescue,-,-,-,1~Mag/C,-,B,3,Moves an ally to a space next to the user.
Warp,-,-,-,1~Mag/D,-,B,1,Moves an ally to a specified tile within range.
