Type,Name,Lvl,Mt,Wt,Rng,DmgType,Price,Tags
Dagger,Peshkatz,A,7,-2,1,Phys,40.0,Deadly(20) Status(Poisoned)
Dagger,Stiletto,B,5,-2,1,Phys,20.0,Deadly(20) Status(Poisoned)
Dagger,Steel Dagger,C,3,-1,1~2,Phys,20.0,Status(Poisoned)
Dagger,Kard,C,1,-1,1,Phys,10.0,Deadly(20) Status(Poisoned)
Dagger,Short Knife,D,0,0,1~2,Phys,5.0,Nimble(10) Status(Poisoned)
Dagger,Iron Dagger,D,1,0,1~2,Phys,10.0,Status(Poisoned)
Dagger,Misericorde,D,3,-1,1~2,Phys,80.0,Status(Poisoned)
Dagger,Cinquedea,S,5,0,1~2,Phys,100.0,Status(Poisoned)
Dagger,Carnwenhan,S,7,-1,1,Phys,100.0,Heavy Status(Poisoned)
Lance,Silver Lance,A,5,-2,1,Phys,40.0,
Lance,Brave Lance,A,1,-2,1,Phys,80.0,Brave
Lance,Silver Greatlance,A,9,-2,1,Phys,60.0,Heavy Inaccurate(1)
Lance,Spear,B,3,-2,1~2,Phys,45.0, Inaccurate(1)
Lance,Steel Greatlance,B,7,-1,1,Phys,30.0,Heavy Inaccurate(1)
Lance,Steel Lance,C,3,-1,1,Phys,20.0,
Lance,Killer Lance,C,3,-1,1,Phys,30.0,Deadly(30)
Lance,Flame Lance,C,3,-2,1~2,Mag,30.0,Enchanted
Lance,Iron Greatlance,C,5,-1,1,Phys,15.0,Heavy
Lance,Slim Lance,D,0,0,1,Phys,5.0,Nimble(10)
Lance,Iron Lance,D,1,0,1,Phys,10.0,
Lance,Javelin,D,1,-1,1~2,Phys,18.0,
Lance,Ridersbane,D,3,-2,1,Phys,25.0,Effective(Cavalry) Inaccurate(1)
Lance,Brionac,S,7,-1,1~2,Phys,100.0, Inaccurate(70)
Lance,Venomous,S,9,-2,1,Phys,100.0,Heavy Status(Poisoned)
Staff,Fortify,A,0,0,1~5,Phys,50.0,AoE Heal(10) Consumable(3)
Staff,Entrap,A,0,0,1~6,Phys,40.0,Entrap Inaccurate(2) Consumable(2)
Staff,Recover,B,0,0,1,Phys,30.0,Heal(20) Consumable(5)
Staff,Warp,B,0,0,1,Phys,20.0,Warp Consumable(3)
Staff,Rescue,B,0,0,1~8,Phys,20.0,Rescue Consumable(3)
Staff,Fracture,B,0,0,1~10,Phys,12.0,Effect(Break) Inaccurate(1) Consumable(5)
Staff,Physic,C,0,0,1~5,Phys,30.0,Heal(5) Consumable(5)
Staff,Restore,C,0,0,1~3,Phys,5.0,Heal(5) Consumable(5)
Staff,Rewarp,C,0,0,—,Phys,12.0,Rewarp Consumable(3)
Staff,Freeze,C,0,0,1~6,Phys,15.0,Freeze Inaccurate(1) Consumable(3)
Staff,Silence,C,0,0,1~6,Phys,15.0,Effect(Silence) Inaccurate(1) Consumable(3)
Staff,Heal,D,0,0,1,Phys,5.0,Heal(5) Consumable(13)
Staff,Mend,D,0,0,1,Phys,10.0,Heal(10) Consumable(10)
Staff,Illume,D,0,0,—,Phys,5.0,Torch(7) Consumable(3)
Staff,Obstruct,D,0,0,1~8,Phys,5.0,Vein(Ice) Consumable(5)
Staff,Nodus,S,0,0,Inf,Phys,60.0, Consumable(1)
Sword,Silver Sword,A,5,-2,1,Phys,40.0,
Sword,Brave Sword,A,1,-2,1,Phys,80.0,Brave
Sword,Silver Blade,A,9,-2,1,Phys,60.0,Heavy
Sword,Wo Dao,B,1,-1,1,Phys,25.0,Deadly(20)
Sword,Wyrmslayer,B,3,-2,1,Phys,25.0,Effective(Dragon)
Sword,Steel Blade,B,7,-2,1,Phys,30.0,Heavy
Sword,Steel Sword,C,3,-1,1,Phys,20.0,
Sword,Armorslayer,C,3,-2,1,Phys,25.0,
Sword,Killing Edge,C,3,-2,1,Phys,25.0,Deadly(30)
Sword,Levin Sword,C,5,-2,1~2,Mag,30.0,Enchanted
Sword,Iron Blade,C,3,-1,1,Phys,15.0,Heavy
Sword,Slim Sword,D,0,0,1,Phys,5.0,Nimble(10)
Sword,Iron Sword,D,1,0,1,Phys,10.0,
Sword,Caladbolg,S,7,-1,1,Phys,100.0,
Sword,Georgios,S,9,-2,1,Phys,100.0,Heavy
Tome,Elsurge,A,5,0,1,Mag,25.0,Homing
Tome,Bolganone,A,7,-1,1~2,Mag,40.0,
Tome,Thoron,A,7,-2,1~3,Mag,40.0,Complex Inaccurate(1)
Tome,Excalibur,A,5,-1,1~2,Mag,40.0,Effective(Flying)
Tome,Meteor,A,7,-2,3~7,Mag,1.0,Complex
Tome,Elthunder,B,5,-2,1~3,Mag,20.0,Complex
Tome,Elwind,B,3,0,1~2,Mag,20.0,Effective(Flying)
Tome,Wind,C,1,0,1~2,Mag,10.0,Effective(Flying)
Tome,Elfire,C,5,0,1~2,Mag,20.0,
Tome,Surge,D,1,0,1,Mag,15.0,Homing
Tome,Fire,D,1,0,1~2,Mag,10.0,
Tome,Thunder,D,3,-1,1~3,Mag,10.0,Complex
Tome,Nova,S,1,-1,1~2,Mag,100.0,Brave
